,Player,Team,Year,09/10vs. HOU,09/17vs. TEN,09/24vs. BAL,10/01vs. NYJ,10/08vs. PIT,10/15vs. LAR,10/22vs. IND,11/05vs. CIN,11/12vs. LAC,11/19vs. CLE,11/26vs. ARI,12/03vs. IND,12/10vs. SEA,12/17vs. HOU,12/24vs. SFO,12/31vs. TEN,01/07vs. BUF,01/14vs. PIT,01/21vs. NWE
10,Allen Hurns,jax,2017,,,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,
11,Jeron Johnson,jax,2017,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
12,Josh Johnson,jax,2017,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia,Injured Reserve: Hernia
13,Abry Jones,jax,2017,,,,,,,,,,,,,,,,Questionable: Back,,,
14,Marqise Lee ,jax,2017,,,,,Questionable: Ribs,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,
15,Brandon Linder,jax,2017,,,,,Questionable: Illness,Out: Illness,Out: Illness,,,,,,,,,,,,
16,Lerentee McCray,jax,2017,,,Out: Knee,Out: Knee,Out: Knee,,,,,,,Questionable: Hamstring,,,Questionable: Neck,,,,
17,Jaydon Mickens,jax,2017,,,,,,,,,,,,,,,,,,Questionable: Hamstring,
18,Taurean Nixon,jax,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
19,Patrick Omameh,jax,2017,,,,,,Questionable: Hip,,,Questionable: Knee,Questionable: Quadricep,Questionable: Quadricep,Questionable: Quadricep,,,,,,,
20,Matt Overton ,jax,2017,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
21,Jermey Parnell,jax,2017,,,,,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,
22,Donald Payne,jax,2017,,,,Questionable: Hamstring,,,,,,,Questionable: Hamstring,,,,,,,,
23,Larry Pinkard,jax,2017,,,,,,,,,,,,,,Injured Reserve: Concussion,Out: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
24,Calvin Pryor,jax,2017,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
25,Jalen Ramsey,jax,2017,,Questionable: Ankle,Questionable: Ankle,,,,,,,,Questionable: Hand,,Questionable: Hamstring,,,,,,
26,Mychal Rivera ,jax,2017,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
27,Allen Robinson,jax,2017,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
28,Cam Robinson ,jax,2017,,,Questionable: Shoulder,,,,,Questionable: Ankle,,,,,,,,Questionable: Abdomen,,,
29,Edmond Robinson,jax,2017,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
30,Telvin Smith,jax,2017,,,,,,,,,,,,Out: Concussion,Questionable: Concussion,,,,,,
31,Jaelen Strong,jax,2017,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
32,Carson Tinker,jax,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Bryan Walters,jax,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
34,Josh Wells,jax,2017,,,,,,,,,,,,Out: Concussion,,,,,,,
35,Dede Westbrook,jax,2017,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,,,,,,,,,,
36,Marquez Williams,jax,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
37,Jarrod Wilson,jax,2017,,,,,Questionable: Shoulder,,,,,,,,,,,,,,
38,T.J. Yeldon,jax,2017,Questionable: Hamstring,,,,,,,,,,,,,,,,Questionable: Illness,,
